Continent,Country,Population_Density,Fertility_Rate,GDP_PPP,Corruption,Government_Effectiveness,Political_Stability,Rule_of_Law,Government_Healthcare_Spend,Urban_Population,Smoking_Prevalence,Tourism,Women_In_Parliament,Obesity_Rate,Year,Diabetes Prevelance % of Population 20-79,Labour Force Total,Population,Population Aged 65 and above % of Total,Urban Population,Death Rate Per 1000 (2017),PM2.5 mean annual exposure,PM2.5 population exposed exceeding levels,Total Covid Cases,Total Covid Deaths,Covid Cases per Pop. 1000,Covid Deaths per Pop. 1000,Land Border Countries,Passengerkm
Europe,Finland,18.2,1.79,42900.0,2.21243,1.9842080000000002,0.9249202,2.046279,0.7674459,0.23399999999999999,0.204,3224000.0,0.47,0.222,2019.0,5.6,2739091.0,5520314.0,22.14064462,4716888.0,9.8,5.861331001,0.0,10929,346,1.9797786865022533,0.06267759406439562,3,24.599008149004966
Europe,France,119.0,1.97,40400.0,1.316893,1.480526,0.10913479999999999,1.4400870000000001,0.7709195,0.22899999999999998,0.327,89322000.0,0.3968804,0.21600000000000003,2019.0,4.8,30386432.0,67059887.0,20.39137028,54123364.0,9.1,11.81496362,78.21356392,634763,32365,9.465613922075352,0.48262831101996934,8,175.72143982132852
Europe,Georgia,57.4,1.96,11300.0,0.7079911,0.6145709,-0.4264878,0.3280484,0.3721465,0.29,0.28800000000000003,4757000.0,0.147651,0.217,2019.0,5.8,2032911.0,3720382.0,15.06105563,2196476.0,12.918,22.19605462,100.0,9245,58,2.484959877775992,0.015589796961709845,4,4.234082653464201
Europe,Germany,240.0,1.49,46700.0,1.946584,1.619633,0.6048951,1.6304459999999998,0.7765988,0.096,0.306,38881000.0,0.3088858,0.223,2019.0,10.4,43577709.0,83132799.0,21.56299232,64324835.0,11.3,12.02876736,89.17435643,306086,9562,3.681892149451145,0.11502078740305616,9,234.83933990705967
Europe,Greece,80.9,1.3,26300.0,-0.06602589999999998,0.33826090000000003,0.09258569999999999,0.1529743,0.6017803,0.294,0.434,30123000.0,0.20666669999999998,0.249,2019.0,4.7,4776602.0,10716322.0,21.94147013,8507474.0,11.6,16.21826638,100.0,20541,420,1.9167957065866443,0.03919255132497885,4,41.06367547339101
Europe,Hungary,107.0,1.43,30600.0,0.053347000000000006,0.48731090000000005,0.7552119,0.555392,0.6873710999999999,0.18100000000000002,0.306,17552000.0,0.1256281,0.264,2019.0,6.9,4720629.0,9769949.0,19.69445761,6999582.0,13.5,15.92604819,100.0,33114,877,3.3893728616188272,0.08976505404480617,7,11.151879441504539
Europe,Iceland,3.4,1.9,47700.0,1.843649,1.465655,1.412426,1.719734,0.8182857,,0.147,2343800.0,0.3809524,0.21899999999999997,2019.0,5.8,217840.0,361313.0,15.19212107,339110.0,6.5,6.4811472629999995,10.28521579,3081,10,8.527232621023877,0.027676834212995383,0,15.066933927644186
Asia,India,464.0,2.24,7630.0,-0.18629300000000001,0.28304850000000004,-0.9565214,0.026216500000000004,0.27132009999999995,0.157,0.115,17423000.0,0.1439114,0.039,2019.0,10.4,494261426.0,1366417754.0,6.377924156000001,471031528.0,7.21,90.87321047,100.0,6757131,104555,4.945142860021709,0.07651759477943668,6,108.63961311878596
Asia,Indonesia,151.0,2.26,12500.0,-0.2515447,0.1798754,-0.5334369000000001,-0.3149146,0.48373190000000005,0.135,0.39399999999999996,15810000.0,0.173913,0.069,2019.0,6.3,134776525.0,270625568.0,6.050302682000001,151509724.0,6.433,16.5026533,95.56714726,311176,11374,1.149839618997123,0.04202854920197341,3,56.00907370957256
Asia,Iraq,92.6,4.14,16000.0,-1.399408,-1.320548,-2.55586,-1.759291,0.4186054,0.251,,,0.25227960000000005,0.304,2019.0,8.8,10475720.0,39309783.0,3.3985331339999996,27783368.0,4.8260000000000005,61.63623571,100.0,387121,9531,9.847955660299625,0.24245872840356306,6,5.337549379301898
