Target Country,Country,Population,Total Covid Cases,Total Covid Deaths,Covid Cases per Pop. 1000,Covid Deaths per Pop. 1000,Itself
Cameroon,Gabon,2172579.0,8808.0,54.0,4.054167880661647,0.024855252674356145,False
Cameroon,Nigeria,200963599.0,59583.0,1113.0,0.29648652938386116,0.005538316419183954,False
Canada,Canada,37589262.0,171323.0,9530.0,4.557764395587229,0.25352985115802484,True
Canada,United States,328239523.0,7501612.0,210909.0,22.854079031792892,0.642546022710373,False
Cape Verde,Cape Verde,549935.0,6518.0,69.0,11.852309818433087,0.12546937365324992,True
Central African Republic,Cameroon,25876380.0,20924.0,420.0,0.8086138787573841,0.016231018403656153,False
Central African Republic,Central African Republic,4745185.0,4852.0,62.0,1.0225101866418276,0.013065876251400103,True
Central African Republic,Chad,15946876.0,1238.0,88.0,0.07763276017196095,0.00551832220931548,False
Central African Republic,"Congo, Dem. Rep.",86790567.0,10778.0,274.0,0.1241840026232344,0.0031570251177181503,False
Central African Republic,"Congo, Rep.",5380508.0,5089.0,89.0,0.945821472619314,0.01654118904757692,False
Central African Republic,South Sudan,,2734.0,50.0,,,False
Central African Republic,Sudan,42813238.0,13653.0,836.0,0.3188966926538002,0.01952667069937574,False
Chad,Cameroon,25876380.0,20924.0,420.0,0.8086138787573841,0.016231018403656153,False
Chad,Central African Republic,4745185.0,4852.0,62.0,1.0225101866418276,0.013065876251400103,False
Chad,Chad,15946876.0,1238.0,88.0,0.07763276017196095,0.00551832220931548,True
Chad,Libya,6777452.0,38468.0,602.0,5.6758793717757055,0.08882394150486052,False
Chad,Niger,23310715.0,1200.0,69.0,0.05147847245354765,0.00296001216607899,False
Chad,Nigeria,200963599.0,59583.0,1113.0,0.29648652938386116,0.005538316419183954,False
Chad,Sudan,42813238.0,13653.0,836.0,0.3188966926538002,0.01952667069937574,False
Chile,Argentina,44938712.0,824455.0,21827.0,18.34620894341609,0.48570595436736147,False
Chile,Bolivia,11513100.0,137468.0,8156.0,11.940137756121286,0.708410419435252,False
Chile,Chile,18952038.0,473306.0,13070.0,24.973884075158566,0.6896355948632015,True
Chile,Peru,32510453.0,832929.0,32914.0,25.620344324331622,1.0124128384184619,False
China,Afghanistan,38041754.0,39548.0,1469.0,1.0395945465606027,0.03861546447095999,False
China,Bhutan,763092.0,300.0,0.0,0.393137393656335,0.0,False
China,China,1397715000.0,90667.0,4739.0,0.06486801672730134,0.003390533835581646,True
China,India,1366417754.0,6757131.0,104555.0,4.945142860021709,0.07651759477943668,False
China,Kazakhstan,18513930.0,142239.0,2107.0,7.682809646574228,0.11380619889996343,False
China,Kyrgyz Republic,6456900.0,47799.0,1500.0,7.402778423082284,0.23230962226455418,False
China,Lao,7169455.0,23.0,0.0,0.003208054168692042,0.0,False
